id;left;satisfaction_level;last_evaluation;average_montly_hours;time_spend_company;Work_accident;promotion_last_5years;salary;num_project;depto
1;1;0,38;0,53;157;3;0;0;low;2;sales
2;1;0,8;0,86;262;6;0;0;medium;5;sales
3;1;0,11;0,88;272;4;0;0;medium;6;sales
4;1;0,72;0,87;223;5;0;0;low;5;sales
5;1;0,37;0,52;159;3;0;0;low;2;sales
6;1;0,41;0,5;153;3;0;0;low;2;sales
7;1;0,1;0,77;247;4;0;0;low;6;sales
8;1;0,92;0,85;259;5;0;0;low;5;sales
9;1;0,89;1;224;5;0;0;low;5;sales
10;1;0,42;0,53;142;3;0;0;low;2;sales
11;1;0,45;0,54;135;3;0;0;low;2;sales
12;1;0,11;0,81;305;4;0;0;low;6;sales
13;1;0,84;0,92;234;5;0;0;low;4;sales
14;1;0,41;0,55;148;3;0;0;low;2;sales
15;1;0,36;0,56;137;3;0;0;low;2;sales
16;1;0,38;0,54;143;3;0;0;low;2;sales
17;1;0,45;0,47;160;3;0;0;low;2;sales
18;1;0,78;0,99;255;6;0;0;low;4;sales
19;1;0,45;0,51;160;3;1;1;low;2;sales
20;1;0,76;0,89;262;5;0;0;low;5;sales
21;1;0,11;0,83;282;4;0;0;low;6;sales
22;1;0,38;0,55;147;3;0;0;low;2;sales
23;1;0,39;0,95;304;4;0;0;low;6;sales
24;1;0,46;0,57;139;3;0;0;low;2;sales
25;1;0,4;0,53;158;3;0;0;low;2;sales
26;1;0,89;0,92;242;5;0;0;low;5;sales
27;1;0,82;0,87;239;5;0;0;low;4;sales
28;1;0,4;0,49;135;3;0;0;low;2;sales
29;1;0,41;0,46;128;3;0;0;low;2;accounting
30;1;0,38;0,5;132;3;0;0;low;2;accounting
31;1;0,19;0,62;294;4;0;0;low;6;accounting
32;1;0,45;0,57;134;3;0;0;low;2;hr
33;1;0,4;0,51;145;3;0;0;low;2;hr
34;1;0,45;0,55;140;3;0;0;low;2;hr
35;1;0,84;0,87;246;6;0;0;low;4;hr
36;1;0,1;0,94;255;4;0;0;low;6;technical
37;1;0,38;0,46;137;3;0;0;low;2;technical
38;1;0,45;0,5;126;3;0;0;low;2;technical
39;1;0,11;0,89;306;4;0;0;low;6;technical
40;1;0,41;0,54;152;3;0;0;low;2;technical
41;1;0,87;0,88;269;5;0;0;low;5;technical
42;1;0,45;0,48;158;3;0;0;low;2;technical
43;1;0,4;0,46;127;3;0;0;low;2;technical
44;1;0,1;0,8;281;4;0;0;low;6;technical
